Order ID,Order Date,Ship Date,Customer ID,Product ID,Quantity,Unit Price,Discount %,Sales,Cost,Profit,City,State,Region,Salesperson,Payment Mode
ORD100001,27-01-2025,28-01-2025,C0492,P115,5,250,0.00,1250,650,600,Patna,Bihar,East,Priya,UPI
ORD100002,20-05-2025,26-05-2025,C0980,P103,3,800,30.00,1680,1350,330,Lucknow,Uttar Pradesh,North,Neha,Net Banking
ORD100003,06-04-2025,08-04-2025,C0772,P106,1,2500,20.00,2000,1700,300,Noida,Uttar Pradesh,North,Deepak,UPI
ORD100004,09-02-2025,10-02-2025,C0158,P107,1,3000,30.00,2100,2200,-100,Coimbatore,Tamil Nadu,South,Priya,Credit Card
ORD100005,18-11-2025,21-11-2025,C0242,P101,4,55000,20.00,176000,168000,8000,Hyderabad,Telangana,South,Amit,Net Banking
ORD100006,09-07-2025,15-07-2025,C0026,P111,3,9500,25.00,21375,21600,-225,Delhi,Delhi,North,Priya,UPI
ORD100007,26-03-2025,31-03-2025,C0468,P104,1,1500,5.00,1425,900,525,Lucknow,Uttar Pradesh,North,Amit,Cash
ORD100008,21-10-2025,27-10-2025,C0351,P106,2,2500,10.00,4500,3400,1100,Ahmedabad,Gujarat,West,Ritu,Cash
ORD100009,20-03-2025,23-03-2025,C0131,P107,2,3000,30.00,4200,4400,-200,Kochi,Kerala,South,Ankit,Debit Card
ORD100010,14-07-2025,15-07-2025,C0799,P101,1,55000,5.00,52250,42000,10250,Coimbatore,Tamil Nadu,South,Raj,Net Banking
ORD100011,17-02-2025,19-02-2025,C0890,P110,1,7000,20.00,5600,5000,600,Coimbatore,Tamil Nadu,South,Neha,UPI
ORD100012,17-03-2025,24-03-2025,C0441,P115,5,250,5.00,1187.5,650,537.5,Chennai,Tamil Nadu,South,Raj,Cash
ORD100013,11-12-2025,14-12-2025,C1063,P106,4,2500,20.00,8000,6800,1200,Lucknow,Uttar Pradesh,North,Karan,UPI
ORD100014,19-06-2025,21-06-2025,C0236,P106,4,2500,5.00,9500,6800,2700,Lucknow,Uttar Pradesh,North,Priya,Debit Card
ORD100015,07-11-2025,10-11-2025,C0863,P110,1,7000,30.00,4900,5000,-100,Patna,Bihar,East,Priya,Credit Card
ORD100016,07-12-2025,13-12-2025,C0561,P103,3,800,0.00,2400,1350,1050,Mumbai,Maharashtra,West,Raj,Debit Card
ORD100017,09-05-2025,12-05-2025,C1116,P112,3,300,5.00,855,510,345,Mumbai,Maharashtra,West,Priya,Cash
ORD100018,02-08-2025,05-08-2025,C0717,P112,1,300,5.00,285,170,115,Indore,Madhya Pradesh,West,Priya,Credit Card
ORD100019,08-10-2025,15-10-2025,C0555,P101,1,55000,0.00,55000,42000,13000,Surat,Gujarat,West,Simran,Credit Card
ORD100020,15-06-2025,17-06-2025,C0550,P106,3,2500,15.00,6375,5100,1275,Kochi,Kerala,South,Priya,UPI
ORD100021,05-10-2025,12-10-2025,C0730,P102,3,12000,0.00,36000,27000,9000,Surat,Gujarat,West,Naveen,Debit Card
ORD100022,20-03-2025,24-03-2025,C0475,P115,1,250,20.00,200,130,70,Guwahati,Assam,East,Neha,Net Banking
ORD100023,30-07-2025,01-08-2025,C0901,P108,2,6500,20.00,10400,8600,1800,Chandigarh,Chandigarh,North,Raj,Debit Card
ORD100024,29-06-2025,04-07-2025,C1113,P110,4,7000,5.00,26600,20000,6600,Surat,Gujarat,West,Amit,Credit Card
ORD100025,01-09-2025,08-09-2025,C0790,P102,1,12000,25.00,9000,9000,0,Bengaluru,Karnataka,South,Neha,UPI
ORD100026,02-06-2025,08-06-2025,C0278,P109,5,8500,10.00,38250,30500,7750,Chandigarh,Chandigarh,North,Simran,Debit Card
ORD100027,04-07-2025,10-07-2025,C0299,P112,3,300,5.00,855,510,345,Coimbatore,Tamil Nadu,South,Naveen,Net Banking
ORD100028,27-01-2025,28-01-2025,C1076,P114,2,180,5.00,342,180,162,Bengaluru,Karnataka,South,Karan,Credit Card
ORD100029,22-09-2025,24-09-2025,C0685,P104,4,1500,20.00,4800,3600,1200,Noida,Uttar Pradesh,North,Amit,Net Banking
ORD100030,13-06-2025,16-06-2025,C1028,P114,1,180,15.00,153,90,63,Indore,Madhya Pradesh,West,Ritu,Cash
ORD100031,20-07-2025,27-07-2025,C0227,P110,1,7000,5.00,6650,5000,1650,Hyderabad,Telangana,South,Neha,Debit Card
ORD100032,27-08-2025,03-09-2025,C0918,P103,4,800,10.00,2880,1800,1080,Kolkata,West Bengal,East,Amit,UPI
ORD100033,24-11-2025,29-11-2025,C0394,P107,1,3000,15.00,2550,2200,350,Bhubaneswar,Odisha,East,Raj,UPI
ORD100034,26-04-2025,29-04-2025,C1081,P106,4,2500,15.00,8500,6800,1700,Bengaluru,Karnataka,South,Ankit,Net Banking
ORD100035,19-04-2025,23-04-2025,C1000,P109,4,8500,10.00,30600,24400,6200,Coimbatore,Tamil Nadu,South,Priya,Cash
ORD100036,26-04-2025,30-04-2025,C0147,P109,3,8500,30.00,17850,18300,-450,Chandigarh,Chandigarh,North,Amit,Cash
ORD100037,28-09-2025,29-09-2025,C0596,P113,5,120,0.00,600,300,300,Noida,Uttar Pradesh,North,Raj,Debit Card
ORD100038,25-03-2025,31-03-2025,C0995,P106,3,2500,25.00,5625,5100,525,Patna,Bihar,East,Ankit,Net Banking
ORD100039,24-11-2025,28-11-2025,C0138,P115,5,250,10.00,1125,650,475,Pune,Maharashtra,West,Ankit,UPI
ORD100040,11-07-2025,17-07-2025,C0985,P112,5,300,15.00,1275,850,425,Indore,Madhya Pradesh,West,Karan,Debit Card
ORD100041,29-08-2025,05-09-2025,C0321,P113,5,120,20.00,480,300,180,Pune,Maharashtra,West,Naveen,Credit Card
ORD100042,27-10-2025,01-11-2025,C0179,P110,5,7000,10.00,31500,25000,6500,Hyderabad,Telangana,South,Simran,Credit Card
ORD100043,10-08-2025,16-08-2025,C0371,P108,4,6500,5.00,24700,17200,7500,Ranchi,Jharkhand,East,Amit,Debit Card
ORD100044,07-08-2025,10-08-2025,C0507,P111,4,9500,30.00,26600,28800,-2200,Kolkata,West Bengal,East,Ritu,Debit Card
ORD100045,02-05-2025,05-05-2025,C1013,P102,1,12000,30.00,8400,9000,-600,Surat,Gujarat,West,Simran,UPI
ORD100046,08-11-2025,15-11-2025,C0566,P114,5,180,5.00,855,450,405,Ahmedabad,Gujarat,West,Karan,Cash
ORD100047,10-03-2025,15-03-2025,C0099,P115,3,250,0.00,750,390,360,Hyderabad,Telangana,South,Ankit,Net Banking
ORD100048,15-04-2025,18-04-2025,C0487,P115,1,250,30.00,175,130,45,Pune,Maharashtra,West,Ritu,Cash
ORD100049,18-08-2025,23-08-2025,C0988,P103,2,800,15.00,1360,900,460,Kolkata,West Bengal,East,Ankit,UPI
ORD100050,26-01-2025,28-01-2025,C0257,P112,4,300,10.00,1080,680,400,Kochi,Kerala,South,Neha,Debit Card
ORD100051,06-08-2025,10-08-2025,C0045,P110,3,7000,20.00,16800,15000,1800,Indore,Madhya Pradesh,West,Deepak,UPI
ORD100052,30-12-2025,01-01-2026,C1184,P107,5,3000,10.00,13500,11000,2500,Noida,Uttar Pradesh,North,Priya,UPI
ORD100053,29-10-2025,31-10-2025,C0514,P109,4,8500,10.00,30600,24400,6200,Patna,Bihar,East,Neha,Credit Card
ORD100054,15-03-2025,20-03-2025,C0380,P106,1,2500,10.00,2250,1700,550,Pune,Maharashtra,West,Ankit,Cash
ORD100055,26-03-2025,31-03-2025,C0070,P107,5,3000,0.00,15000,11000,4000,Jaipur,Rajasthan,North,Priya,Net Banking
ORD100056,04-01-2025,08-01-2025,C0301,P102,5,12000,0.00,60000,45000,15000,Mumbai,Maharashtra,West,Raj,Cash
ORD100057,23-06-2025,28-06-2025,C0599,P110,5,7000,30.00,24500,25000,-500,Pune,Maharashtra,West,Amit,Debit Card
ORD100058,13-06-2025,20-06-2025,C0793,P106,5,2500,5.00,11875,8500,3375,Delhi,Delhi,North,Amit,UPI
ORD100059,06-10-2025,09-10-2025,C0104,P107,4,3000,5.00,11400,8800,2600,Hyderabad,Telangana,South,Simran,UPI
ORD100060,01-07-2025,07-07-2025,C1128,P112,1,300,25.00,225,170,55,Bhubaneswar,Odisha,East,Neha,Credit Card
ORD100061,26-05-2025,02-06-2025,C0496,P106,2,2500,30.00,3500,3400,100,Lucknow,Uttar Pradesh,North,Priya,UPI
